VGA HUB TEST
Tanggal  : 01-01-2000
Jam      : 00:16:56
Operator : TJA
Produk   : TJGP8
----------------------

   1      67.41 Kg

   2      67.41 Kg

   3      67.41 Kg

   4      67.41 Kg

VGA HUB TEST
Tanggal  : 01-01-2000
Jam      : 00:24:23
Operator : OP 1
Produk   : TJGP8
----------------------

   1    6969.69 Kg

   2    6969.69 Kg

   3    6969.69 Kg

   4    6969.69 Kg

   5    6969.69 Kg

   6    6969.69 Kg

   7    6969.69 Kg

   8    1313.13 Kg

   9    1313.13 Kg

  10    1313.13 Kg

